order_detail_id,order_id,product_id,quantity
1,O01045,P001,6
2,O02877,P009,8
3,O00915,P008,5
4,O04885,P007,10
5,O03843,P006,4
6,O01258,P025,7
7,O01206,P018,7
8,O03589,P010,1
9,O00495,P001,8
10,O02537,P025,3
11,O02737,P023,9
12,O01415,P019,5
13,O01756,P003,7
14,O02972,P015,9
15,O02923,P024,1
16,O00766,P004,1
17,O01770,P023,9
18,O04259,P008,1
19,O02323,P001,8
20,O01084,P026,10
21,O01617,P005,9
22,O01251,P022,4
23,O01502,P021,4
24,O04479,P023,4
25,O03673,P001,3
26,O01730,P017,6
27,O02335,P011,7
28,O00377,P011,10
29,O03372,P005,3
30,O02901,P019,3
31,O00692,P009,3
32,O01539,P015,7
33,O03076,P018,3
34,O03051,P008,6
35,O03962,P018,6
36,O01592,P025,1
37,O03028,P025,5
38,O02091,P027,9
39,O02706,P001,5
40,O01318,P020,9
41,O04129,P029,2
42,O00963,P016,6
43,O00178,P006,6
44,O02695,P026,10
45,O03829,P003,9
46,O02027,P020,6
47,O04942,P016,7
48,O00581,P016,4
49,O00877,P022,3
50,O02272,P006,5
51,O04633,P004,8
52,O01470,P017,5
53,O02846,P010,8
54,O02617,P026,2
55,O01046,P009,5
56,O03035,P009,4
57,O03078,P027,8
58,O01751,P020,5
59,O04432,P006,6
60,O02511,P008,7
61,O04802,P016,2
62,O03963,P021,9
63,O03896,P008,9
64,O02894,P002,9
65,O00761,P008,4
66,O02672,P014,8
67,O00074,P022,1
68,O03986,P014,10
69,O03863,P006,1
70,O01187,P005,6
71,O04108,P013,6
72,O04999,P001,10
73,O03074,P016,6
74,O02554,P016,3
75,O00768,P011,7
76,O03885,P023,2
77,O01866,P016,4
78,O02322,P010,10
79,O04064,P010,9
80,O04972,P013,10
81,O01252,P010,2
82,O03480,P020,9
83,O04243,P017,5
84,O00580,P023,5
85,O00113,P020,3
86,O01418,P008,1
87,O00359,P012,9
88,O02037,P011,3
89,O01138,P022,2
90,O03955,P008,4
91,O03779,P015,8
92,O03786,P011,5
93,O01781,P008,6
94,O00953,P008,10
95,O02285,P010,7
96,O04380,P024,9
97,O02844,P026,7
98,O04222,P010,9
99,O04730,P017,6
100,O02236,P014,7
101,O03563,P023,4
102,O00432,P002,1
103,O04249,P001,7
104,O02970,P025,2
105,O04046,P014,6
106,O01150,P026,8
107,O02382,P008,6
108,O04114,P027,5
109,O03448,P021,5
110,O02856,P020,5
111,O01025,P023,9
112,O02589,P016,2
113,O00982,P019,3
114,O00955,P021,7
115,O01288,P018,1
116,O03887,P028,7
117,O03599,P022,6
118,O03928,P027,8
119,O01740,P009,9
120,O04773,P018,3
121,O04939,P022,6
122,O01661,P013,4
123,O00217,P017,5
124,O02817,P007,7
125,O04655,P005,5
126,O02345,P012,3
127,O04797,P001,2
128,O01979,P016,10
129,O02819,P006,6
130,O03241,P024,8
131,O02784,P024,3
132,O02183,P018,8
133,O02269,P018,8
134,O03340,P003,9
135,O02520,P021,1
136,O04501,P006,4
137,O01835,P008,5
138,O04984,P029,3
139,O03395,P026,1
140,O03444,P001,10
141,O00319,P024,3
142,O01240,P021,8
143,O02948,P004,5
144,O03729,P029,7
145,O02478,P023,10
146,O03359,P027,3
147,O04436,P016,8
148,O03788,P002,9
149,O00451,P013,2
150,O00545,P014,8
151,O04177,P007,2
152,O04728,P023,5
153,O03433,P015,3
154,O03973,P023,10
155,O01664,P005,1
156,O03831,P003,10
157,O04867,P021,8
158,O01826,P021,7
159,O01697,P019,5
160,O00861,P030,3
161,O00040,P007,4
162,O04310,P028,6
163,O01405,P009,2
164,O00749,P018,10
165,O02243,P005,2
166,O03928,P023,4
167,O02078,P017,10
168,O00446,P011,3
169,O01186,P017,8
170,O04695,P029,2
171,O04309,P003,5
172,O02461,P015,9
173,O00109,P012,4
174,O00058,P023,6
175,O03464,P013,5
176,O04860,P008,10
177,O01554,P005,1
178,O01142,P018,9
179,O02357,P013,8
180,O01775,P025,7
181,O04584,P020,5
182,O03355,P021,4
183,O03419,P003,1
184,O03814,P020,10
185,O02154,P027,8
186,O00821,P004,5
187,O01131,P015,10
188,O03576,P011,10
189,O04147,P027,6
190,O00766,P008,2
191,O02947,P022,3
192,O01799,P013,8
193,O01125,P022,3
194,O02783,P010,5
195,O03497,P008,2
196,O01554,P014,5
197,O00963,P016,8
198,O03354,P023,10
199,O00993,P008,7
200,O01246,P003,3
201,O00007,P020,10
202,O00035,P019,4
203,O01992,P002,1
204,O03834,P022,6
205,O04605,P007,3
206,O00971,P010,7
207,O02925,P027,5
208,O03010,P011,9
209,O00637,P016,9
210,O01266,P012,10
211,O01479,P003,10
212,O00239,P015,2
213,O04671,P015,9
214,O02347,P012,2
215,O03670,P008,1
216,O01523,P010,10
217,O04747,P020,4
218,O04865,P007,3
219,O00115,P004,5
220,O04202,P022,10
221,O04733,P016,2
222,O03876,P003,3
223,O01270,P020,7
224,O02314,P008,10
225,O01927,P014,4
226,O02750,P012,5
227,O04678,P007,1
228,O01071,P014,2
229,O03355,P005,6
230,O00004,P002,5
231,O03048,P005,3
232,O03022,P028,7
233,O04615,P012,6
234,O00783,P013,2
235,O02319,P010,7
236,O02079,P027,5
237,O01892,P029,10
238,O01511,P021,2
239,O00900,P011,1
240,O04109,P020,2
241,O00253,P019,9
242,O01258,P021,7
243,O03261,P014,8
244,O04816,P014,3
245,O04328,P013,2
246,O04821,P006,8
247,O02623,P021,6
248,O02841,P003,8
249,O01489,P011,3
250,O01333,P014,6
251,O02169,P008,7
252,O02553,P003,9
253,O01934,P006,5
254,O00644,P004,4
255,O03666,P026,2
256,O04829,P029,4
257,O02000,P008,7
258,O04722,P022,3
259,O01763,P009,9
260,O00043,P025,7
261,O01923,P021,3
262,O00972,P008,10
263,O00082,P003,6
264,O01367,P001,2
265,O04489,P011,10
266,O02753,P027,5
267,O04038,P020,7
268,O01811,P023,1
269,O02594,P008,7
270,O04771,P005,8
271,O03107,P005,4
272,O02898,P022,7
273,O00576,P008,4
274,O00507,P009,6
275,O01845,P005,1
276,O02774,P009,8
277,O03847,P006,10
278,O00086,P001,10
279,O01997,P004,5
280,O00346,P005,1
281,O02685,P011,5
282,O03846,P006,9
283,O01625,P006,3
284,O00368,P001,2
285,O04465,P005,6
286,O03532,P021,4
287,O00457,P027,10
288,O00900,P005,10
289,O02897,P001,8
290,O01176,P025,7
291,O02625,P019,9
292,O00050,P023,2
293,O03209,P020,4
294,O00428,P016,9
295,O00100,P023,9
296,O02833,P018,10
297,O00062,P030,5
298,O00130,P024,2
299,O04148,P023,2
300,O02604,P025,3
301,O03267,P014,10
302,O01944,P007,8
303,O04555,P010,7
304,O00775,P003,6
305,O00663,P023,2
306,O03375,P006,9
307,O01579,P005,10
308,O02338,P016,3
309,O03741,P026,5
310,O04570,P022,4
