order_id,order_date,customer_id,payment_method
O00001,17/04/2024,C1046,Cash
O00002,03/03/2024,C1466,Card
O00003,28/01/2024,C0141,Cash
O00004,17/12/2024,C0041,Card
O00005,14/09/2024,C0472,Cash
O00006,11/02/2024,C1263,Cash
O00007,06/04/2024,C1018,Mobile Banking
O00008,20/03/2024,C0299,Cash
O00009,06/12/2024,C1052,Card
O00010,21/09/2024,C0389,Cash
O00011,24/12/2024,C0231,Mobile Banking
O00012,29/03/2024,C1412,Mobile Banking
O00013,07/07/2024,C0687,Mobile Banking
O00014,19/11/2024,C1240,Cash
O00015,21/12/2024,C0747,Cash
O00016,18/10/2024,C0715,Cash
O00017,26/04/2024,C0389,Mobile Banking
O00018,14/09/2024,C0505,Card
O00019,17/11/2024,C0736,Cash
O00020,04/06/2024,C0947,Cash
O00021,30/10/2024,C0692,Card
O00022,08/04/2024,C1106,Cash
O00023,31/05/2024,C1040,Cash
O00024,08/07/2024,C1345,Mobile Banking
O00025,24/03/2024,C1427,Card
O00026,28/08/2024,C0839,Mobile Banking
O00027,14/03/2024,C0201,Card
O00028,08/10/2024,C1328,Mobile Banking
O00029,16/10/2024,C0277,Cash
O00030,15/02/2024,C0451,Card
O00031,13/11/2024,C1004,Cash
O00032,25/06/2024,C0317,Mobile Banking
O00033,22/08/2024,C1183,Mobile Banking
O00034,24/07/2024,C1473,Cash
O00035,09/04/2024,C0046,Mobile Banking
O00036,30/10/2024,C0569,Mobile Banking
O00037,06/05/2024,C1385,Card
O00038,11/07/2024,C0335,Card
O00039,17/07/2024,C1427,Cash
O00040,21/04/2024,C0843,Mobile Banking
O00041,04/06/2024,C0634,Card
O00042,08/03/2024,C0006,Card
O00043,01/07/2024,C1015,Mobile Banking
O00044,19/04/2024,C0011,Cash
O00045,08/04/2024,C0829,Mobile Banking
O00046,07/02/2024,C0331,Mobile Banking
O00047,03/11/2024,C0513,Cash
O00048,25/12/2024,C0449,Mobile Banking
O00049,26/08/2024,C1382,Mobile Banking
O00050,26/07/2024,C0759,Mobile Banking
O00051,22/07/2024,C1263,Card
O00052,17/07/2024,C0954,Cash
O00053,09/09/2024,C0277,Card
O00054,09/06/2024,C0062,Cash
O00055,02/01/2024,C0429,Card
O00056,06/02/2024,C0379,Cash
O00057,06/10/2024,C0395,Card
O00058,23/02/2024,C0315,Cash
O00059,04/07/2024,C0044,Card
O00060,10/09/2024,C1466,Cash
O00061,02/09/2024,C0437,Mobile Banking
O00062,13/01/2024,C0925,Cash
O00063,18/10/2024,C0797,Mobile Banking
O00064,19/06/2024,C1010,Cash
O00065,29/10/2024,C0548,Mobile Banking
O00066,08/10/2024,C1342,Mobile Banking
O00067,30/08/2024,C0391,Card
O00068,04/08/2024,C1230,Card
O00069,02/12/2024,C1053,Mobile Banking
O00070,23/04/2024,C0623,Cash
O00071,06/03/2024,C0261,Cash
O00072,19/04/2024,C1406,Cash
O00073,11/10/2024,C1048,Card
O00074,10/08/2024,C0785,Mobile Banking
O00075,07/09/2024,C0676,Cash
O00076,04/03/2024,C0836,Cash
O00077,17/11/2024,C0321,Card
O00078,17/08/2024,C0876,Card
O00079,17/08/2024,C0263,Cash
O00080,28/01/2024,C0566,Mobile Banking
O00081,02/06/2024,C0256,Mobile Banking
O00082,22/11/2024,C1475,Card
O00083,24/07/2024,C0509,Cash
O00084,13/11/2024,C1433,Cash
O00085,03/02/2024,C0968,Cash
O00086,07/01/2024,C0175,Cash
O00087,30/08/2024,C1462,Card
O00088,08/09/2024,C1007,Mobile Banking
O00089,17/09/2024,C0800,Card
O00090,29/09/2024,C0044,Cash
O00091,26/10/2024,C1187,Cash
O00092,01/05/2024,C0783,Card
O00093,24/03/2024,C0552,Mobile Banking
O00094,12/09/2024,C0807,Card
O00095,07/07/2024,C0154,Cash
O00096,28/08/2024,C0778,Card
O00097,23/10/2024,C1239,Card
O00098,16/07/2024,C0038,Mobile Banking
O00099,30/03/2024,C1302,Cash
O00100,12/03/2024,C1067,Mobile Banking
O00101,09/06/2024,C0297,Cash
O00102,12/12/2024,C1297,Card
O00103,13/01/2024,C0862,Card
O00104,12/11/2024,C1447,Cash
O00105,12/01/2024,C0295,Mobile Banking
O00106,11/05/2024,C0365,Cash
O00107,14/03/2024,C0152,Card
O00108,17/11/2024,C1324,Cash
O00109,17/03/2024,C0498,Cash
O00110,19/07/2024,C0041,Card
O00111,27/09/2024,C1222,Mobile Banking
O00112,03/01/2024,C1443,Cash
O00113,19/07/2024,C0492,Mobile Banking
O00114,17/04/2024,C0313,Cash
O00115,04/06/2024,C0798,Card
O00116,16/05/2024,C1435,Mobile Banking
O00117,25/09/2024,C1002,Card
O00118,22/08/2024,C1250,Mobile Banking
O00119,05/01/2024,C1411,Cash
O00120,06/03/2024,C0067,Mobile Banking
O00121,18/02/2024,C0937,Mobile Banking
O00122,22/07/2024,C1184,Mobile Banking
O00123,01/07/2024,C1003,Mobile Banking
O00124,13/12/2024,C0203,Cash
O00125,25/01/2024,C0446,Cash
O00126,11/06/2024,C0141,Card
O00127,23/06/2024,C0923,Mobile Banking
O00128,09/07/2024,C1406,Mobile Banking
O00129,07/07/2024,C1426,Card
O00130,10/11/2024,C0527,Mobile Banking
O00131,06/10/2024,C0481,Mobile Banking
O00132,26/05/2024,C1375,Cash
O00133,22/02/2024,C0305,Cash
O00134,16/09/2024,C1193,Cash
O00135,28/03/2024,C0972,Cash
O00136,25/08/2024,C1402,Mobile Banking
O00137,31/10/2024,C0704,Card
O00138,30/10/2024,C1190,Cash
O00139,20/02/2024,C0206,Mobile Banking
O00140,01/06/2024,C0741,Card
O00141,22/09/2024,C0080,Mobile Banking
O00142,07/12/2024,C1426,Mobile Banking
O00143,04/05/2024,C0576,Mobile Banking
O00144,03/02/2024,C0595,Card
O00145,14/11/2024,C0948,Cash
O00146,14/01/2024,C0448,Card
O00147,03/10/2024,C1495,Card
O00148,21/04/2024,C0503,Cash
O00149,23/05/2024,C0914,Cash
O00150,27/08/2024,C0191,Cash
O00151,27/03/2024,C1355,Cash
O00152,26/05/2024,C1451,Card
O00153,15/02/2024,C0129,Cash
O00154,05/10/2024,C1068,Mobile Banking
O00155,18/12/2024,C1401,Cash
O00156,14/11/2024,C1408,Cash
O00157,25/08/2024,C1469,Cash
O00158,28/01/2024,C1357,Cash
O00159,20/07/2024,C0691,Card
O00160,18/04/2024,C0834,Card
O00161,17/10/2024,C0448,Mobile Banking
O00162,09/02/2024,C0799,Cash
O00163,02/04/2024,C1126,Mobile Banking
O00164,07/06/2024,C0021,Card
O00165,28/04/2024,C0102,Card
O00166,29/08/2024,C0677,Cash
O00167,14/07/2024,C0297,Cash
O00168,08/05/2024,C1269,Mobile Banking
O00169,03/05/2024,C0979,Mobile Banking
O00170,11/08/2024,C0309,Cash
O00171,27/12/2024,C0186,Mobile Banking
O00172,30/12/2024,C1225,Mobile Banking
O00173,16/07/2024,C0604,Card
O00174,28/06/2024,C0575,Card
O00175,19/09/2024,C1441,Card
O00176,13/12/2024,C0687,Card
O00177,01/01/2024,C0084,Card
O00178,20/10/2024,C0623,Mobile Banking
O00179,14/04/2024,C1363,Cash
O00180,20/09/2024,C1351,Card
O00181,23/09/2024,C0190,Card
O00182,12/07/2024,C1385,Mobile Banking
O00183,16/10/2024,C0014,Mobile Banking
O00184,07/01/2024,C1322,Card
O00185,16/08/2024,C1145,Mobile Banking
O00186,13/09/2024,C0007,Mobile Banking
O00187,08/03/2024,C0831,Cash
O00188,01/06/2024,C0251,Mobile Banking
O00189,27/02/2024,C0677,Cash
O00190,20/07/2024,C0948,Cash
O00191,14/08/2024,C0893,Card
O00192,26/10/2024,C0022,Cash
O00193,15/01/2024,C0489,Card
O00194,22/03/2024,C0839,Mobile Banking
O00195,24/12/2024,C0893,Mobile Banking
O00196,19/09/2024,C1020,Mobile Banking
O00197,04/08/2024,C0408,Mobile Banking
O00198,25/01/2024,C0917,Card
O00199,01/08/2024,C0142,Cash
O00200,23/03/2024,C0632,Mobile Banking
O00201,20/04/2024,C0950,Mobile Banking
O00202,25/02/2024,C0354,Mobile Banking
O00203,29/01/2024,C1374,Cash
O00204,27/06/2024,C0478,Cash
O00205,17/12/2024,C0830,Mobile Banking
O00206,30/01/2024,C1441,Card
O00207,06/04/2024,C1494,Mobile Banking
O00208,25/04/2024,C0563,Mobile Banking
O00209,08/09/2024,C1173,Mobile Banking
O00210,29/10/2024,C0315,Card
O00211,15/02/2024,C0013,Card
O00212,06/02/2024,C0640,Mobile Banking
O00213,09/03/2024,C0686,Cash
O00214,28/08/2024,C0493,Card
O00215,02/06/2024,C0640,Mobile Banking
O00216,13/05/2024,C1227,Cash
O00217,15/06/2024,C0984,Mobile Banking
O00218,15/08/2024,C0233,Cash
O00219,01/07/2024,C0986,Mobile Banking
O00220,03/09/2024,C0709,Card
O00221,06/11/2024,C1488,Card
O00222,11/10/2024,C0468,Mobile Banking
O00223,03/09/2024,C0322,Card
O00224,22/08/2024,C0519,Mobile Banking
O00225,16/08/2024,C0219,Card
O00226,27/11/2024,C0616,Card
